Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,AssetPerMember,ExpensesToNetAssetsRatio,Liquidity Ratio,Overall Risk Score,ReturnOn Investment,UnremmittedContributions/Total Assets,Compliance toTable G,Inflation,Interest_rates,Exchange_rates
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,16," 22,562,534.00 "," 1,410,158.38 ",1%,42%,#N/A,6%,2%,0,7%,10%,101.78
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,0," 27,351,245.00 ", -   ,1%,5%,#N/A,10%,1%,0,5%,10%,103.37
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,18," 30,977,081.00 "," 1,720,948.94 ",1%,6%,#N/A,4%,0%,0,6%,9%,101.88
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,18," 35,190,984.00 "," 1,955,054.67 ",1%,24%,#N/A,8%,0%,0,5%,9%,102.55
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,0," 37,258,704.00 ", -   ,1%,54%,#N/A,6%,0%,0,5%,7%,109.51
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,0," 40,266,457.00 ", -   ,0%,36%,2.72,7%,0%,5,6%,7%,111.93
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,15," 44,961,121.00 "," 2,997,408.07 ",0%,18%,2.53,7%,0%,5,9%,9%,121.95
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,16," 48,304,348.00 "," 3,019,021.75 ",0%,9%,2.45,2%,0%,5,7%,13%,151.77
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,15," 51,704,377.00 "," 3,446,958.47 ",1%,10%,2.32,2%,0%,1,#N/A,#N/A,151.77
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,449," 111,310,635.00 "," 247,907.87 ",0%,6%,#N/A,10%,0%,0,7%,10%,101.78
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,437," 132,026,821.00 "," 302,120.87 ",0%,14%,#N/A,7%,0%,0,7%,13%,103.78
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,0," 150,679,513.00 ", -   ,0%,30%,#N/A,8%,0%,0,7%,10%,101.78
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,446," 174,305,007.00 "," 390,818.40 ",0%,22%,#N/A,9%,0%,0,5%,10%,103.37
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,437," 187,019,595.00 "," 427,962.46 ",0%,59%,#N/A,8%,0%,0,6%,9%,101.88
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,253," 176,332,104.00 "," 696,964.84 ",0%,135%,#N/A,10%,0%,0,5%,9%,102.55
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,507," 201,495,900.00 "," 397,427.81 ",0%,30%,#N/A,7%,1%,0,5%,7%,109.51
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,455," 239,618,121.00 "," 526,633.23 ",0%,18%,3.44,8%,0%,5,6%,7%,111.93
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,139," 258,529,179.00 "," 1,859,922.15 ",0%,55%,2.56,6%,0%,5,9%,9%,121.95
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,435," 311,493,992.00 "," 716,078.14 ",0%,13%,2.56,8%,3%,5,7%,13%,151.77
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,416," 340,849,211.00 "," 819,349.06 ",0%,56%,2.82,10%,10%,1,#N/A,#N/A,151.77
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,489," 686,810,166.00 "," 1,404,519.77 ",1%,33%,#N/A,14%,0%,0,7%,10%,101.78
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,680," 630,882,386.00 "," 927,768.21 ",1%,183%,#N/A,1%,0%,0,7%,13%,103.78
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,640," 510,292,401.00 "," 797,331.88 ",1%,215%,#N/A,9%,0%,0,7%,10%,101.78
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,635," 479,823,063.00 "," 755,626.87 ",1%,126%,#N/A,16%,0%,0,5%,10%,103.37
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,612," 500,612,853.00 "," 817,994.86 ",1%,68%,#N/A,6%,0%,0,6%,9%,101.88
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,598," 595,057,955.00 "," 995,080.19 ",1%,21%,#N/A,14%,0%,0,5%,9%,102.55
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,584," 620,886,830.00 "," 1,063,162.38 ",2%,72%,#N/A,8%,0%,0,5%,7%,109.51
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,551," 646,280,989.00 "," 1,172,923.75 ",2%,77%,3.58,11%,0%,1,6%,7%,111.93
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,578," 643,601,650.00 "," 1,113,497.66 ",2%,105%,3.1,2%,0%,1,9%,9%,121.95
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,588," 675,121,213.00 "," 1,148,165.33 ",2%,53%,3.1,3%,0%,1,7%,13%,151.77
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,584," 867,649,420.00 "," 1,485,701.06 ",2%,21%,3.15,22%,0%,1,#N/A,#N/A,151.77
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,995," 540,477,365.00 "," 543,193.33 ",1%,9%,#N/A,11%,0%,0,7%,10%,101.78
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,1095," 762,482,076.00 "," 696,330.66 ",1%,15%,#N/A,6%,0%,0,7%,13%,103.78
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,1173," 878,809,695.00 "," 749,198.38 ",1%,56%,#N/A,7%,0%,0,7%,10%,101.78
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,1059," 1,068,539,860.00 "," 1,009,008.37 ",1%,39%,#N/A,14%,0%,0,5%,10%,103.37
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,1865," 623,142,993.00 "," 334,124.93 ",2%,325%,#N/A,14%,0%,0,6%,9%,101.88
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,1914," 579,528,421.00 "," 302,783.92 ",1%,142%,#N/A,13%,1%,0,5%,9%,102.55
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,1840," 551,164,511.00 "," 299,545.93 ",1%,139%,#N/A,8%,1%,0,5%,7%,109.51
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,1723," 566,591,843.00 "," 328,840.30 ",1%,76%,4.08,11%,1%,1,6%,7%,111.93
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,1785," 573,477,381.00 "," 321,275.84 ",1%,90%,3.91,8%,1%,1,9%,9%,121.95
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,1837," 583,062,228.00 "," 317,399.14 ",1%,87%,3.21,8%,1%,1,7%,13%,151.77
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,2010," 694,153,486.00 "," 345,349.99 ",1%,29%,3.91,18%,1%,5,#N/A,#N/A,151.77
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,107," 55,361,736.00 "," 517,399.40 ",0%,70%,#N/A,14%,0%,0,7%,10%,101.78
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,101," 69,947,867.00 "," 692,553.14 ",1%,29%,#N/A,10%,0%,0,7%,13%,103.78
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,90," 76,102,434.00 "," 845,582.60 ",0%,64%,#N/A,10%,2%,0,7%,10%,101.78
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,100," 84,296,352.00 "," 842,963.52 ",0%,54%,#N/A,13%,0%,0,5%,10%,103.37
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,102," 93,594,546.00 "," 917,593.59 ",0%,52%,#N/A,9%,0%,0,6%,9%,101.88
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,100," 98,219,118.00 "," 982,191.18 ",0%,76%,#N/A,8%,0%,0,5%,9%,102.55
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,105," 107,971,728.00 "," 1,028,302.17 ",0%,51%,#N/A,7%,0%,0,5%,7%,109.51
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,119," 125,773,057.00 "," 1,056,916.45 ",1%,32%,2.66,9%,0%,5,6%,7%,111.93
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,204," 129,062,664.00 "," 632,660.12 ",1%,88%,2.38,9%,0%,5,9%,9%,121.95
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,96," 155,095,119.00 "," 1,615,574.16 ",0%,23%,2.48,10%,0%,5,7%,13%,151.77
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,95," 182,343,230.00 "," 1,919,402.42 ",0%,37%,2.94,11%,0%,1,#N/A,#N/A,151.77
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,71," 201,335,716.00 "," 2,835,714.31 ",1%,15%,#N/A,7%,0%,0,7%,13%,103.78
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,69," 222,857,085.00 "," 3,229,812.83 ",1%,32%,#N/A,8%,0%,0,7%,10%,101.78
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,68," 252,699,680.00 "," 3,716,171.76 ",1%,16%,#N/A,9%,0%,0,5%,10%,103.37
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,71," 261,716,081.00 "," 3,686,141.99 ",1%,73%,#N/A,8%,0%,0,6%,9%,101.88
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,75," 270,638,308.00 "," 3,608,510.77 ",1%,78%,#N/A,10%,0%,0,5%,9%,102.55
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,73," 244,850,271.00 "," 3,354,113.30 ",1%,178%,#N/A,8%,0%,0,5%,7%,109.51
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,68," 257,758,174.00 "," 3,790,561.38 ",1%,63%,2.72,9%,0%,5,6%,7%,111.93
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,66," 257,758,033.00 "," 3,905,424.74 ",1%,100%,2.84,7%,0%,5,9%,9%,121.95
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,68," 290,357,575.00 "," 4,269,964.34 ",0%,32%,2.44,9%,0%,5,7%,13%,151.77
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,94," 338,755,343.00 "," 3,603,780.24 ",1%,19%,2.24,11%,0%,1,#N/A,#N/A,151.77
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 20,610,556.00 ", -   ,1%,5%,#N/A,6%,0%,0,7%,10%,101.78
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,0," 24,930,830.00 ", -   ,1%,5%,#N/A,2%,0%,0,7%,13%,103.78
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,58," 27,851,032.00 "," 480,190.21 ",1%,43%,#N/A,3%,1%,0,7%,10%,101.78
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,91," 40,037,487.00 "," 439,972.38 ",0%,22%,#N/A,3%,0%,0,6%,9%,101.88
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,106," 50,930,706.00 "," 480,478.36 ",0%,5%,#N/A,8%,0%,0,5%,9%,102.55
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,82," 59,913,005.00 "," 730,646.40 ",0%,-52%,#N/A,7%,0%,0,5%,7%,109.51
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,122," 73,709,223.00 "," 604,173.96 ",0%,13%,2.67,9%,0%,5,6%,7%,111.93
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,140," 91,009,415.00 "," 650,067.25 ",0%,4%,2.29,8%,0%,5,9%,9%,121.95
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,151," 106,017,457.00 "," 702,102.36 ",0%,27%,2.29,9%,0%,5,7%,13%,151.77
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,155," 129,086,902.00 "," 832,818.72 ",0%,6%,2.24,10%,0%,1,#N/A,#N/A,151.77
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,0, -   , -   ,0%,0%,#N/A,#DIV/0!,0%,0,7%,10%,101.78
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,52," 156,025,634.00 "," 3,000,492.96 ",0%,43%,#N/A,8%,0%,0,7%,13%,103.78
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,65," 140,017,488.00 "," 2,154,115.20 ",1%,151%,#N/A,10%,0%,0,7%,10%,101.78
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,59," 163,962,211.00 "," 2,779,020.53 ",1%,29%,#N/A,11%,0%,0,5%,10%,103.37
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,59," 186,405,936.00 "," 3,159,422.64 ",0%,29%,#N/A,7%,0%,0,6%,9%,101.88
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,55," 214,745,044.00 "," 3,904,455.35 ",1%,29%,#N/A,9%,0%,0,5%,9%,102.55
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,66," 207,116,833.00 "," 3,138,133.83 ",0%,121%,#N/A,9%,0%,0,5%,7%,109.51
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,58," 221,011,160.00 "," 3,810,537.24 ",1%,62%,2.64,10%,0%,5,6%,7%,111.93
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,52," 255,791,480.00 "," 4,919,066.92 ",0%,12%,2.42,8%,0%,5,9%,9%,121.95
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,48," 247,262,612.00 "," 5,151,304.42 ",0%,119%,2.42,10%,0%,5,7%,13%,151.77
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,52," 210,733,762.00 "," 4,052,572.35 ",1%,179%,2.36,12%,0%,1,#N/A,#N/A,151.77
1022,Active,Defined Benefit,,,,4,1136," 1,403,248,350.00 "," 1,235,253.83 ",5%,392%,#N/A,#DIV/0!,3%,16,#N/A,#N/A,1262.07
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 225,183,128.00 ", -   ,1%,73%,#N/A,7%,0%,0,7%,10%,101.78
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,0," 238,876,083.00 ", -   ,1%,49%,#N/A,2%,0%,0,7%,13%,103.78
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,0," 261,639,551.00 ", -   ,1%,44%,#N/A,7%,0%,0,7%,10%,101.78
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,0," 306,654,388.00 ", -   ,1%,21%,#N/A,11%,0%,0,5%,10%,103.37
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,92," 334,721,833.00 "," 3,638,280.79 ",1%,48%,#N/A,9%,0%,0,6%,9%,101.88
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,90," 402,076,236.00 "," 4,467,513.73 ",1%,20%,#N/A,15%,0%,0,5%,9%,102.55
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,0," 385,310,172.00 ", -   ,1%,124%,#N/A,8%,0%,0,5%,7%,109.51
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,0," 431,685,387.00 ", -   ,1%,39%,3.23,11%,0%,1,6%,7%,111.93
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,0," 428,633,438.00 ", -   ,1%,109%,3.03,3%,0%,5,9%,9%,121.95
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,92," 422,796,568.00 "," 4,595,614.87 ",1%,129%,3.09,-1%,0%,1,7%,13%,151.77
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,0," 500,280,975.00 ", -   ,1%,29%,3.21,17%,0%,5,#N/A,#N/A,151.77
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,78," 107,762,794.00 "," 1,381,574.28 ",1%,18%,#N/A,12%,1%,0,7%,10%,101.78
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,86," 127,498,109.00 "," 1,482,536.15 ",0%,32%,#N/A,12%,0%,0,7%,13%,103.78
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,88," 153,588,915.00 "," 1,745,328.58 ",0%,19%,#N/A,10%,0%,0,7%,10%,101.78
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,101," 189,581,992.00 "," 1,877,049.43 ",0%,9%,#N/A,10%,0%,0,5%,10%,103.37
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,120," 237,288,216.00 "," 1,977,401.80 ",0%,7%,#N/A,10%,0%,0,6%,9%,101.88
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,101," 287,327,009.00 "," 2,844,821.87 ",0%,20%,#N/A,9%,0%,0,5%,9%,102.55
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,101," 332,735,557.00 "," 3,294,411.46 ",1%,37%,#N/A,9%,0%,0,5%,7%,109.51
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,173," 378,729,915.00 "," 2,189,190.26 ",0%,36%,2.62,9%,0%,5,6%,7%,111.93
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,0," 437,026,148.00 ", -   ,1%,32%,2.34,10%,0%,5,9%,9%,121.95
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,179," 221,884,859.00 "," 1,239,580.22 ",0%,504%,2.19,9%,0%,5,7%,13%,151.77
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,115," 225,944,094.00 "," 1,964,731.25 ",1%,91%,2.19,9%,2%,1,#N/A,#N/A,151.77
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,153," 333,198,841.00 "," 2,177,770.20 ",1%,13%,#N/A,21%,0%,0,7%,10%,101.78
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,151," 370,873,479.00 "," 2,456,115.75 ",1%,46%,#N/A,4%,0%,0,7%,13%,103.78
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,171," 437,961,810.00 "," 2,561,180.18 ",1%,34%,#N/A,8%,0%,0,7%,10%,101.78
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,176," 539,433,284.00 "," 3,064,961.84 ",1%,26%,#N/A,11%,0%,0,5%,10%,103.37
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,177," 631,237,125.00 "," 3,566,311.44 ",1%,31%,#N/A,8%,0%,0,6%,9%,101.88
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,180," 739,560,086.00 "," 4,108,667.14 ",1%,38%,#N/A,12%,0%,0,5%,9%,102.55
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,207," 778,989,906.00 "," 3,763,236.26 ",2%,75%,#N/A,6%,0%,0,5%,7%,109.51
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,224," 931,598,106.00 "," 4,158,920.12 ",1%,31%,3.56,9%,0%,5,6%,7%,111.93
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,242," 1,051,093,948.00 "," 4,343,363.42 ",1%,36%,3.2,3%,0%,1,9%,9%,121.95
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,233," 1,079,675,658.00 "," 4,633,801.11 ",1%,85%,3.2,3%,0%,1,7%,13%,151.77
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,226," 1,162,197,839.00 "," 5,142,468.31 ",1%,79%,3.2,20%,0%,1,#N/A,#N/A,151.77
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,317," 514,825,813.00 "," 1,624,056.19 ",1%,181%,#N/A,3%,0%,0,7%,13%,103.78
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,290," 511,206,416.00 "," 1,762,780.74 ",1%,109%,#N/A,8%,0%,0,7%,10%,101.78
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,250," 585,061,158.00 "," 2,340,244.63 ",1%,25%,#N/A,17%,0%,0,5%,10%,103.37
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,234," 553,927,774.00 "," 2,367,212.71 ",1%,262%,#N/A,3%,0%,0,6%,9%,101.88
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,205," 568,685,569.00 "," 2,774,075.95 ",1%,85%,#N/A,17%,0%,0,5%,9%,102.55
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,180," 510,576,901.00 "," 2,836,538.34 ",1%,281%,#N/A,6%,0%,0,5%,7%,109.51
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,184," 509,602,671.00 "," 2,769,579.73 ",1%,102%,3.31,12%,0%,1,6%,7%,111.93
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,181," 447,924,434.00 "," 2,474,720.63 ",1%,8693%,2.98,0%,0%,1,9%,9%,121.95
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,171," 413,673,639.00 "," 2,419,144.09 ",1%,388%,2.97,3%,0%,1,7%,13%,151.77
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,127," 457,652,996.00 "," 3,603,566.90 ",1%,49%,3.18,19%,0%,1,#N/A,#N/A,151.77
103,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,526," 2,972,043,103.00 "," 5,650,272.06 ",1%,21%,#N/A,19%,0%,0,7%,10%,101.78
103,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,747," 3,394,363,686.00 "," 4,543,994.22 ",1%,26%,#N/A,11%,0%,0,7%,13%,103.78
103,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,747," 3,635,702,451.00 "," 4,867,071.55 ",1%,49%,#N/A,8%,0%,0,7%,10%,101.78
103,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,750," 3,545,472,117.00 "," 4,727,296.16 ",1%,129%,#N/A,3%,0%,0,5%,10%,103.37
103,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,735," 3,823,758,180.00 "," 5,202,392.08 ",1%,68%,#N/A,18%,0%,0,6%,9%,101.88
103,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,723," 3,838,366,159.00 "," 5,308,943.51 ",1%,94%,#N/A,3%,0%,0,5%,9%,102.55
103,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,717," 3,688,240,016.00 "," 5,143,988.86 ",1%,135%,#N/A,5%,0%,0,5%,7%,109.51
103,Active,Defined Contribution,Provident Fund,Segregated funds,2021,5,710," 3,671,469,507.00 "," 5,171,083.81 ",1%,104%,3.52,7%,0%,5,6%,7%,111.93
103,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,709," 3,989,324,592.74 "," 5,626,691.95 ",1%,57%,2.56,14%,0%,5,9%,9%,121.95
